tweet_created_at,tweet_favorite_count,tweet_in_reply_to_user_id,tweet_retweet_count,user_created_at,user_default_profile,user_default_profile_image,user_favourites_count,user_followers_count,user_friends_count,user_geo_enabled,user_has_extended_profile,user_id,user_listed_count,user_location,user_statuses_count,user_name,user_screen_name
Fri Sep 07 15:20:34 +0000 2018,0,415859364 ,0,Tue Nov 27 06:21:37 +0000 2012,0,0,13,29,211,0,0,973370078 ,0,,22,hayley,hayley_wight
Fri Sep 07 15:20:32 +0000 2018,0,815913824335360000 ,0,Sat Nov 17 04:19:38 +0000 2012,1,0,61414,399,958,0,0,952897704 ,57,Miami FL. ,,FUCK Savannah ST. 超False,39696
Fri Sep 07 15:20:26 +0000 2018,0,25073877 ,0,Sat Sep 03 09:03:22 +0000 2016,1,0,250,15,71,0,0,771997000204062000 ,0,America,2287,Susan Bailey,susanbaileyco1
Fri Sep 07 15:20:03 +0000 2018,0,25073877 ,0,Thu Jan 26 20:39:36 +0000 2012,1,0,17267,346,1264,1,1,475226282 ,2,"Washington, DC to Raleigh, NC",1970,Bex Z üü锔,Bex_4_Ever
Fri Sep 07 15:20:01 +0000 2018,1,1024499202284540000 ,0,Sun Mar 08 21:53:49 +0000 2009,1,0,4786,275,305,0,0,23359947 ,5,"Seattle, WA",1899,fireball17,rredrrocket
Fri Sep 07 15:19:29 +0000 2018,1,25073877 ,0,Thu Jul 20 20:42:35 +0000 2017,0,0,1022,206,383,0,1,888137079879856000 ,0,WORLDWIDE,1855,PowerSocietyNetwork,PLUGGEDnPSN
Fri Sep 07 15:15:50 +0000 2018,0,25073877 ,0,Thu Aug 06 12:57:30 +0000 2009,0,0,1961,136,250,1,1,63473893 ,3,"Santa Rosa Beach, Florida",4986,Tour Mom,Lawwoman99
Fri Sep 07 15:15:49 +0000 2018,0,17878322 ,0,Fri Feb 03 02:06:50 +0000 2012,1,0,290,51,167,1,0,481683590 ,1,Louisiana,3524,coachjsmith,coachjsmith1
Fri Sep 07 15:15:20 +0000 2018,1,14396561 ,0,Tue May 03 19:38:40 +0000 2011,0,0,11093,700,690,1,1,292516116 ,72,NYC 10036,17284,Ned Newhouse,Ned_Newhouse
Fri Sep 07 15:15:14 +0000 2018,0,25073877 ,0,Fri Jul 15 03:26:22 +0000 2011,0,0,6730,137,192,0,0,335710249 ,33,"Seattle, WA",4045,ES,ESPhotoSeattle
Fri Sep 07 15:14:28 +0000 2018,6,323846773 ,0,Wed Jun 10 18:23:55 +0000 2009,0,0,31305,4302,4325,0,0,46184858 ,0,"Pahoa, HI",,Marcie üRise Upü Grover 筹üガFalse,2667
Fri Sep 07 15:14:28 +0000 2018,1,620554052 ,0,Mon Oct 20 14:01:38 +0000 2014,0,0,29542,1096,2204,1,1,2867236818 ,84,RVA,74410,Lisa D. Lipscomb,Lipsle2
Fri Sep 07 15:13:58 +0000 2018,3,15012486 ,0,Sun Jul 03 21:13:23 +0000 2016,0,0,12999,530,1376,1,1,749712665744961000 ,32,"Columbus, OH",36168,Columbus Neon ,ColumbusNeon
Fri Sep 07 15:13:27 +0000 2018,0,3053497127 ,0,Sun Jan 08 22:35:19 +0000 2012,0,0,141568,16468,10987,0,1,458757597 ,165,Boston,,Kenny 撅 КFalse,130349
Fri Sep 07 15:12:05 +0000 2018,0,25073877 ,0,Sun Nov 29 06:28:27 +0000 2015,0,0,1144,11,128,0,0,4315148913 ,0,,741,RaleighRoseGirl,RaleighRoseGirl
Fri Sep 07 15:11:50 +0000 2018,0,25073877 ,0,Thu Mar 26 19:43:45 +0000 2015,1,0,3088,42,143,1,0,3108592500 ,0,,1073,Mrs . Woody,MrsWoody21
Fri Sep 07 15:11:18 +0000 2018,1,706719971196411000 ,1,Tue Apr 05 18:18:40 +0000 2016,1,0,7323,428,777,1,0,717416176343646000 ,7,"San Marcos, TX",4375,Rupert in Texas,RupertinTexas
Fri Sep 07 15:10:48 +0000 2018,0,16721452 ,0,Wed Jul 08 03:48:12 +0000 2015,1,0,1037,3036,4699,0,0,3365339207 ,25,,7889,Robert Sandera,ApostleOfJesus
Fri Sep 07 15:10:39 +0000 2018,0,17582355 ,0,Fri Jun 19 02:26:52 +0000 2009,0,0,2511,82,412,1,0,48580164 ,6,"Lubbock, Texas",3001,Heather Ammons,hammonstexas
Fri Sep 07 15:10:09 +0000 2018,0,736182413093544000 ,0,Tue Dec 15 23:04:08 +0000 2015,1,0,92567,2699,2532,1,1,4496819788 ,16,"South Carolina, USA",,Firehorsegirl 锔锯ü火锯üü锔う锯üü锔葛粳False,22742
Fri Sep 07 15:08:23 +0000 2018,0,971328338232053000 ,0,Wed Mar 07 10:14:57 +0000 2018,1,0,35,13,7,0,1,971328338232053000 ,0,Canada,93,Ernesto,Ernesto30210822
Fri Sep 07 15:07:38 +0000 2018,3,208672905 ,0,Thu Oct 13 20:33:29 +0000 2016,1,0,47807,3265,3976,1,0,786666189141532000 ,10,,38237,Nan,TracySkidds
Fri Sep 07 15:07:20 +0000 2018,0,25073877 ,0,Fri Nov 28 17:43:01 +0000 2008,0,0,472,5364,1694,1,0,17714083 ,79,United States,1801,Glacier Park,GlacierPark
Fri Sep 07 15:05:25 +0000 2018,0,947644259552731000 ,0,Thu Oct 20 13:51:03 +0000 2016,1,0,16291,719,711,0,0,789101625680007000 ,0,"West Virginia, USA",7422,John h dix,Johnhdix1
Fri Sep 07 15:05:18 +0000 2018,1,25073877 ,0,Fri Mar 11 18:46:23 +0000 2016,1,0,2563,490,862,0,0,708363455284121000 ,0,,1225,Wrath of Spears,wrathofspears
